id;name;description;optional
1;Documento de Visão;Descrição do problema, stakeholders e objetivos do produto de software;false
2;Backlog do Produto;Lista priorizada de histórias de usuário e épicos do produto;false
3;Especificação de Requisitos;Documento detalhado com requisitos funcionais e não funcionais;false
4;Diagrama de Arquitetura;Representação visual dos componentes, integrações e fluxos do sistema;true
5;Protótipo de Interface;Mockups ou wireframes das telas principais da aplicação;true
6;Plano de Testes;Casos de teste, cenários e critérios de aceitação para validação;false
7;Código-fonte;Implementação da funcionalidade versionada no repositório Git;false
8;Relatório de Cobertura;Métricas de cobertura de testes unitários e de integração;true
9;Notas de Release;Changelog com funcionalidades entregues, correções e breaking changes;false
10;Manual de Deploy;Instruções para build, configuração e publicação em ambientes;true
