id;name;description
1;Iniciação;Definição do escopo, stakeholders e viabilidade do projeto de software
2;Planejamento;Estimativas, cronograma, alocação de recursos e definição do backlog inicial
3;Análise de Requisitos;Levantamento, documentação e validação dos requisitos com stakeholders
4;Design e Arquitetura;Modelagem da solução, decisões técnicas e prototipação de interfaces
5;Implementação;Desenvolvimento do código-fonte, testes unitários e integração de componentes
6;Testes e Validação;Execução de testes funcionais, regressão e validação com usuários
7;Implantação;Deploy em ambientes de homologação e produção com rollback planejado
8;Operação e Suporte;Monitoramento, correção de incidentes e manutenção evolutiva do sistema
9;Encerramento;Documentação final, lições aprendidas e transferência de conhecimento
10;Melhoria Contínua;Retrospectivas, métricas de processo e otimização do fluxo de entrega
