id;process_name;process_description
1;Scrum;Framework ágil iterativo com sprints, papéis definidos e entregas incrementais de software
2;Kanban;Fluxo contínuo de trabalho com limitação de WIP e visualização do pipeline de entrega
3;Extreme Programming (XP);Práticas de engenharia como TDD, pair programming e integração contínua
4;RUP Simplificado;Processo iterativo com fases de elaboração, construção e transição
5;DevOps Pipeline;Fluxo automatizado de build, teste, deploy e monitoramento contínuo
6;Design Thinking para Software;Processo centrado no usuário com empatia, ideação e prototipação
7;CI/CD Tradicional;Integração e entrega contínuas com gates de qualidade e aprovação manual
8;Lean Startup;Ciclo construir-medir-aprender com MVPs e validação de hipóteses de produto
9;Feature-Driven Development;Desenvolvimento orientado a features com modelagem de domínio
10;OpenUP;Processo unificado leve com disciplinas de gerência, requisitos e desenvolvimento
