id;name;description
1;Template de História de Usuário;Modelo padrão: Como [persona], quero [ação], para [benefício]
2;Template de Caso de Teste;Formato com pré-condições, passos, resultado esperado e prioridade
3;Template de ADR;Registro de decisão arquitetural com contexto, opções e consequências
4;Template de Sprint Planning;Agenda para planejamento de sprint com metas e capacidade da equipe
5;Template de Retrospectiva;Formato Start/Stop/Continue para retrospectivas ágeis
6;Template de Pull Request;Checklist de revisão: testes, documentação, breaking changes
7;Template de Especificação de API;Contrato OpenAPI com endpoints, schemas e exemplos de payload
8;Template de Bug Report;Formulário padronizado para reportar defeitos com passos de reprodução
9;Template de Release Notes;Estrutura para documentar versões com novidades e correções
10;Template de Diagrama C4;Modelo para documentar contexto, containers, componentes e código
